pmid,gene_ID,host_db
18515835,PmUG01_10024400,PlasmoDB
18515835,PmUG01_12047100,PlasmoDB
18515835,PmUG01_12051700,PlasmoDB
18515835,PmUG01_12053900,PlasmoDB
18515835,PmUG01_14048000,PlasmoDB
18515835,PRELSG_0105500,PlasmoDB
18515835,PRELSG_0308300,PlasmoDB
18515835,PRELSG_0923400,PlasmoDB
18515835,PRELSG_1011600,PlasmoDB
18515835,PRELSG_1026600,PlasmoDB
18515835,PRELSG_1210900,PlasmoDB
18515835,PRELSG_1211000,PlasmoDB
18515835,PRELSG_1215600,PlasmoDB
18515835,PRELSG_1217800,PlasmoDB
18515835,PRELSG_1243900,PlasmoDB
18515835,PRELSG_1429300,PlasmoDB
18515835,PVP01_0107800,PlasmoDB
18515835,PVP01_0310400,PlasmoDB
18515835,PVP01_0927100,PlasmoDB
18515835,PVP01_1013700,PlasmoDB
18515835,PVP01_1028100,PlasmoDB
18515835,PVP01_1237000,PlasmoDB
18515835,PVP01_1237100,PlasmoDB
18515835,PVP01_1241600,PlasmoDB
18515835,PVP01_1243800,PlasmoDB
18515835,PVP01_1269900,PlasmoDB
18515835,PVP01_1432000,PlasmoDB
18515835,PY17X_0615000,PlasmoDB
18515835,PY17X_0807900,PlasmoDB
18515835,PY17X_1106600,PlasmoDB
18515835,PY17X_1238400,PlasmoDB
18515835,PY17X_1304800,PlasmoDB
18515835,PY17X_1330400,PlasmoDB
18515835,PY17X_1333300,PlasmoDB
18515835,PY17X_1337600,PlasmoDB
18515835,PY17X_1337700,PlasmoDB
18515835,PY17X_1426100,PlasmoDB
18515835,PY17X_1431200,PlasmoDB
18545708,PCHAS_0711900,PlasmoDB
18545708,PCHAS_0722900,PlasmoDB
18545708,PCHAS_1454700,PlasmoDB
18545708,PCHAS_1460800,PlasmoDB
18545708,PF3D7_0817000,PlasmoDB
18545708,PF3D7_1138100,PlasmoDB
18545708,PF3D7_1237800,PlasmoDB
18545708,PF3D7_1245300,PlasmoDB
18545708,PBANKA_0713800,PlasmoDB
18545708,PBANKA_0910600,PlasmoDB
18545708,PBANKA_1452400,PlasmoDB
18545708,PBANKA_1458500,PlasmoDB
18545708,PKNH_0503400,PlasmoDB
18545708,PKNH_0936300,PlasmoDB
18545708,PKNH_1457600,PlasmoDB
18545708,PKNH_1465000,PlasmoDB
18545708,PGAL8A_00109900,PlasmoDB
18545708,PGAL8A_00365800,PlasmoDB
18545708,PGAL8A_00459500,PlasmoDB
18545708,PGAL8A_00466000,PlasmoDB
18545708,PocGH01_05023900,PlasmoDB
18545708,PocGH01_14063400,PlasmoDB
18545708,PRCDC_0816300,PlasmoDB
18545708,PRCDC_1136500,PlasmoDB
18545708,PRCDC_1237000,PlasmoDB
18545708,PRCDC_1244700,PlasmoDB
18545708,PmUG01_05031900,PlasmoDB
18545708,PmUG01_14072000,PlasmoDB
18545708,PmUG01_14078500,PlasmoDB
18545708,PRELSG_0507000,PlasmoDB
18545708,PRELSG_0935800,PlasmoDB
18545708,PRELSG_1453900,PlasmoDB
18545708,PRELSG_1460400,PlasmoDB
18545708,PVP01_0518300,PlasmoDB
18545708,PVP01_0939100,PlasmoDB
18545708,PVP01_1455900,PlasmoDB
18545708,PVP01_1462400,PlasmoDB
18545708,PY17X_0714000,PlasmoDB
