"gene_ID","pmid","has_summary","has_PD","host_db"
"TGME49_208370",30377279,TRUE,NA,"ToxoDB"
"TGME49_316250",30377279,TRUE,NA,"ToxoDB"
"AN2701",30410052,TRUE,NA,"FungiDB"
"NCU01932",30468429,TRUE,NA,"FungiDB"
"CNAG_01983",30483479,TRUE,NA,"FungiDB"
"PKNH_0303000",30581686,TRUE,NA,"PlasmoDB"
"PF3D7_1117500",30592748,TRUE,NA,"PlasmoDB"
"TGME49_237015",30622189,TRUE,NA,"ToxoDB"
"TGME49_236870",30622189,TRUE,NA,"ToxoDB"
"PVP01_1253200",30683097,TRUE,NA,"PlasmoDB"
"TGME49_500223",30728393,TRUE,NA,"ToxoDB"
"TGME49_244530",30850550,TRUE,NA,"ToxoDB"
"TGME49_212880",30865554,TRUE,NA,"ToxoDB"
"TGME49_232960",30914506,TRUE,NA,"ToxoDB"
"TGME49_214620",30914506,TRUE,NA,"ToxoDB"
"TGME49_500344",30959972,TRUE,NA,"ToxoDB"
"PVP01_0730000",30999945,TRUE,NA,"PlasmoDB"
"PKNH_1266000",31035999,TRUE,NA,"PlasmoDB"
"TGME49_239010",31036909,TRUE,NA,"ToxoDB"
"TGME49_203600",31040239,TRUE,NA,"ToxoDB"
"TGME49_208740",31040239,TRUE,NA,"ToxoDB"
"TGME49_239010",31040242,TRUE,NA,"ToxoDB"
"Afu1g11420",31068436,TRUE,NA,"FungiDB"
"TGME49_290720",31091451,TRUE,NA,"ToxoDB"
"TGME49_232830",31091451,TRUE,NA,"ToxoDB"
"PVP01_0304700",31094679,TRUE,NA,"PlasmoDB"
"TGME49_251630",31118298,TRUE,NA,"ToxoDB"
"Afu6g06710",31131706,TRUE,NA,"FungiDB"
"PBANKA_1131900",31202684,TRUE,NA,"PlasmoDB"
"PY17X_0405400",31202685,TRUE,NA,"PlasmoDB"
"TGME49_297230",31233488,TRUE,NA,"ToxoDB"
"PVP01_1312900",31239348,TRUE,NA,"PlasmoDB"
"PBANKA_0810400",31334132,TRUE,NA,"PlasmoDB"
"PmUG01_07042000",31344067,TRUE,NA,"PlasmoDB"
"Afu5g14910",31548684,TRUE,NA,"FungiDB"
"Afu5g14900",31548684,TRUE,NA,"FungiDB"
"PRCDC_0421500",31586047,TRUE,NA,"PlasmoDB"
"PBANKA_0931000",31616399,TRUE,NA,"PlasmoDB"
"AN8501",31779253,TRUE,NA,"FungiDB"
"PF3D7_0704600",31797898,TRUE,NA,"PlasmoDB"
"PF3D7_0925800",31866984,TRUE,NA,"PlasmoDB"
"PF3D7_1123400",31866984,TRUE,NA,"PlasmoDB"
"CNAG_02775",31932719,TRUE,NA,"FungiDB"
"TGME49_200385",31955846,TRUE,NA,"ToxoDB"
"PF3D7_1421000",32004461,TRUE,NA,"PlasmoDB"
"PVP01_0534400",32014895,TRUE,NA,"PlasmoDB"
"TGME49_258870",32019789,TRUE,NA,"ToxoDB"
"TGME49_310790",32019789,TRUE,NA,"ToxoDB"
"TGME49_265180",32047127,TRUE,NA,"ToxoDB"
"TGME49_263323",32047127,TRUE,NA,"ToxoDB"
"TGME49_225940",32060530,TRUE,NA,"ToxoDB"
"TGME49_211460",32075880,TRUE,NA,"ToxoDB"
"TGME49_204340",32075880,TRUE,NA,"ToxoDB"
"TGME49_228170",32075881,TRUE,NA,"ToxoDB"
"TGME49_209755",32075884,TRUE,NA,"ToxoDB"
"Afu1g01010",32083553,TRUE,NA,"FungiDB"
"PVP01_0814300",32093983,TRUE,NA,"PlasmoDB"
"TGME49_305340",32094587,TRUE,NA,"ToxoDB"
"PF3D7_1301700",32184257,TRUE,NA,"PlasmoDB"
"PocGH01_04023000",32228600,TRUE,NA,"PlasmoDB"
"PVP01_1435400",32266169,TRUE,NA,"PlasmoDB"
"PF3D7_1035900",32318061,TRUE,NA,"PlasmoDB"
"PRCDC_1035200",32318061,TRUE,NA,"PlasmoDB"
"PF3D7_1434300",32343703,TRUE,NA,"PlasmoDB"
"TGME49_292950",32379047,TRUE,NA,"ToxoDB"
"PY17X_1328100",32395856,TRUE,NA,"PlasmoDB"
"PY17X_0109900",32395856,TRUE,NA,"PlasmoDB"
"PY17X_0210400",32407410,TRUE,NA,"PlasmoDB"
"TGME49_233010",32409604,TRUE,NA,"ToxoDB"
"TGME49_246950",32409604,TRUE,NA,"ToxoDB"
"PF3D7_0617400",32471507,TRUE,NA,"PlasmoDB"
"Afu1g02580",32541034,TRUE,NA,"FungiDB"
"Afu1g02570",32541034,TRUE,NA,"FungiDB"
"PBANKA_1230200",32568069,TRUE,NA,"PlasmoDB"
"PBANKA_0826700",32601225,TRUE,NA,"PlasmoDB"
"TGME49_272370",32738587,TRUE,NA,"ToxoDB"
"TGME49_247230",32759683,TRUE,NA,"ToxoDB"
"PF3D7_1037100",32815516,TRUE,NA,"PlasmoDB"
"TGME49_259180",32887901,TRUE,NA,"ToxoDB"
"PBANKA_0304800",32956401,TRUE,NA,"PlasmoDB"
"TGME49_228110",32968076,TRUE,NA,"ToxoDB"
"PF3D7_1331600",33106323,TRUE,NA,"PlasmoDB"
